fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases,s_a,s_b,s_c
1,2,1.73611e-05,0.0,0.0,1.73611e-05,0.0,1.73611e-05,1.73611e-05,0.0,0.0,1.73611e-05,0.0,1.73611e-05,switch,switch_1_2,CLOSED,1000000,2401.77712,5.768533333,abc,0,0,0
2,3,0.006024306,0.002048611,0.002013889,0.006128472,0.002083333,0.006076389,0.014184027,0.006597222,0.005069444,0.013784723,0.005572917,0.014010416,overhead_line,oh_line_2_3,,1000000,2401.77712,5.768533333,abc,0,0,0
3,4,0.0,0.0,0.0,0.00765625,0.0,0.0,0.0,0.0,0.0,0.007760417,0.0,0.0,overhead_line,oh_line_3_4,,1000000,2401.77712,5.768533333,b,0,0,0
3,5,0.0,0.0,0.0,0.0,0.0,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,overhead_line,oh_line_3_5,,1000000,2401.77712,5.768533333,c,0,0,0
5,6,0.0,0.0,0.0,0.0,0.0,0.008732639,0.0,0.0,0.0,0.0,0.0,0.008854167,overhead_line,oh_line_5_6,,1000000,2401.77712,5.768533333,c,0,0,0
5,7,0.0,0.0,0.0,0.0,0.0,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,overhead_line,oh_line_5_7,,1000000,2401.77712,5.768533333,c,0,0,0
7,8,0.0,0.0,0.0,0.0,0.0,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,overhead_line,oh_line_7_8,,1000000,2401.77712,5.768533333,c,0,0,0
3,9,0.004513889,0.001545139,0.001510416,0.004600695,0.0015625,0.004548611,0.010642361,0.004947916,0.003802083,0.010347223,0.004184027,0.010503473,overhead_line,oh_line_3_9,,1000000,2401.77712,5.768533333,abc,0,0,0
9,10,0.003003472,0.001024305,0.001006945,0.003072917,0.001041667,0.003038194,0.007083333,0.003298612,0.002534723,0.006892361,0.002777778,0.006996528,overhead_line,oh_line_9_10,,1000000,2401.77712,5.768533333,abc,0,0,0
10,11,0.0,0.0,0.0,0.009826389,0.0,0.0,0.0,0.0,0.0,0.009965278,0.0,0.0,overhead_line,oh_line_10_14,,1000000,2401.77712,5.768533333,b,0,0,0
10,12,0.009826389,0.0,0.0,0.0,0.0,0.0,0.009965278,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_10_11,,1000000,2401.77712,5.768533333,a,0,0,0
12,13,1.73611e-05,0.0,0.0,0.0,0.0,0.0,1.73611e-05,0.0,0.0,0.0,0.0,0.0,switch,switch_11_16,CLOSED,1000000,2401.77712,5.768533333,a,0,0,0
13,14,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_16_13,,1000000,2401.77712,5.768533333,a,0,0,0
13,15,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_16_12,,1000000,2401.77712,5.768533333,a,0,0,0
10,16,0.004513889,0.001545139,0.001510416,0.004600695,0.0015625,0.004548611,0.010642361,0.004947916,0.003802083,0.010347223,0.004184027,0.010503473,overhead_line,oh_line_10_15,,1000000,2401.77712,5.768533333,abc,0,0,0
16,17,0.0,0.0,0.0,0.0,0.0,0.0065625,0.0,0.0,0.0,0.0,0.0,0.006649305,overhead_line,oh_line_15_36,,1000000,2401.77712,5.768533333,c,0,0,0
17,18,0.0,0.0,0.0,0.0,0.0,0.004375,0.0,0.0,0.0,0.0,0.0,0.004427083,overhead_line,oh_line_36_17,,1000000,2401.77712,5.768533333,c,0,0,0
18,19,0.0,0.0,0.0,0.0,0.0,0.016388889,0.0,0.0,0.0,0.0,0.0,0.016614584,overhead_line,oh_line_17_18,,1000000,2401.77712,5.768533333,c,0,0,0
18,20,0.0,0.0,0.0,0.0,0.0,0.015295139,0.0,0.0,0.0,0.0,0.0,0.015503472,overhead_line,oh_line_17_19,,1000000,2401.77712,5.768533333,c,0,0,0
16,21,0.01265625,0.004288194,0.004236111,0.012517361,0.004166667,0.012413195,0.0284375,0.011493056,0.013611111,0.028888889,0.010434028,0.029236111,overhead_line,oh_line_15_20,,1000000,2401.77712,5.768533333,abc,0,0,0
21,22,0.010920139,0.0,0.0,0.0,0.0,0.0,0.011076389,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_20_21,,1000000,2401.77712,5.768533333,a,0,0,0
22,23,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_21_22,,1000000,2401.77712,5.768533333,a,0,0,0
21,24,0.004600695,0.0015625,0.001545139,0.004548611,0.001510416,0.004513889,0.010347223,0.004184027,0.004947916,0.010503473,0.003802083,0.010642361,overhead_line,oh_line_20_23,,1000000,2401.77712,5.768533333,abc,0,0,0
24,25,0.0,0.0,0.0,0.022951389,0.0,0.0,0.0,0.0,0.0,0.023263889,0.0,0.0,overhead_line,oh_line_23_24,,1000000,2401.77712,5.768533333,b,0,0,0
24,26,0.003836806,0.001302083,0.001284722,0.003802083,0.001267361,0.003767361,0.008611111,0.003489583,0.004131944,0.00875,0.003159722,0.008854167,overhead_line,oh_line_23_25,,1000000,2401.77712,5.768533333,abc,0,0,0
26,27,0.0,0.0,0.0,0.0,0.0,0.024045139,0.0,0.0,0.0,0.0,0.0,0.024375,overhead_line,oh_line_25_26,,1000000,2401.77712,5.768533333,c,0,0,0
26,28,0.00421875,0.001423611,0.00140625,0.004166667,0.001388889,0.004131944,0.009479166,0.003836806,0.00453125,0.009635417,0.003472222,0.009739584,overhead_line,oh_line_25_27,,1000000,2401.77712,5.768533333,abc,0,0,0
28,29,1.73611e-05,0.0,0.0,0.0,0.0,1.73611e-05,1.73611e-05,0.0,0.0,0.0,0.0,1.73611e-05,switch,switch_27_28,CLOSED,1000000,2401.77712,5.768533333,ac,0,0,0
29,30,0.004131944,0.0,0.0,0.0,0.0,0.0,0.009739584,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_28_29,,1000000,2401.77712,5.768533333,a,0,0,0
30,31,0.021857639,0.0,0.0,0.0,0.0,0.0,0.022152777,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_29_35,,1000000,2401.77712,5.768533333,a,0,0,0
29,32,0.0,0.0,0.0,0.0,0.0,0.009826389,0.0,0.0,0.0,0.0,0.0,0.009965278,overhead_line,oh_line_28_33,,1000000,2401.77712,5.768533333,c,0,0,0
32,33,0.0,0.0,0.0,0.0,0.0,0.013107639,0.0,0.0,0.0,0.0,0.0,0.013298612,overhead_line,oh_line_33_34,,1000000,2401.77712,5.768533333,c,0,0,0
28,34,0.003072917,0.001041667,0.001024305,0.003038194,0.001006945,0.003003472,0.006892361,0.002777778,0.003298612,0.006996528,0.002534723,0.007083333,overhead_line,oh_line_27_30,,1000000,2401.77712,5.768533333,abc,0,0,0
34,35,0.004600695,0.0015625,0.001545139,0.004548611,0.001510416,0.004513889,0.010347223,0.004184027,0.004947916,0.010503473,0.003802083,0.010642361,overhead_line,oh_line_30_31,,1000000,2401.77712,5.768533333,abc,0,0,0
35,36,0.005364584,0.001822917,0.001788194,0.0053125,0.001770834,0.005260417,0.012065972,0.004878473,0.00578125,0.012256945,0.004427083,0.012413195,overhead_line,oh_line_31_32,,1000000,2401.77712,5.768533333,abc,0,0,0
36,37,0.003072917,0.001041667,0.001024305,0.003038194,0.001006945,0.003003472,0.006892361,0.002777778,0.003298612,0.006996528,0.002534723,0.007083333,overhead_line,oh_line_32_119,,1000000,2401.77712,5.768533333,abc,0,0,0
21,39,8.68055e-08,0.0,0.0,8.68055e-08,0.0,8.68055e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch,CLOSED,1000000,2401.7771198288438,5.768533333333334,abc,0,0,0
16,38,8.68055e-08,0.0,0.0,8.68055e-08,0.0,8.68055e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch,CLOSED,1000000,2401.7771198288438,5.768533333333334,abc,0,0,0
