id,name,pa,pb,pc,qa,qb,qc,s_base,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_min,qa_min,qb_min,qc_min.1
12,78,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
22,88,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
27,93,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
29,95,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
33,99,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
35,101,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
36,102,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
39,103,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
43,107,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
46,110,0.01,0.01,0.01,0,0,0,1000000,0.012,0.012,0.012,abc,,,,,,
