id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap
1,1,0,0,0,0,0,0,SWING,1.03,1.03,1.03,2401.777119828844,1000000,0.95,1.05,0.0,0.0,abc,0.0,0.0,0.0
2,117,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
3,54,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
4,55,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
5,56,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
6,57,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
7,58,0.0,0.0,0.02,0.01,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
8,59,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
9,60,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
10,61,0.0,0.0,0.02,0.01,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
11,62,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
12,63,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
13,122,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
14,64,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
15,65,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
16,66,0.0,0.0,0.075,0.035,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
17,67,0.035,0.025,0.035,0.025,0.07,0.05,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
18,68,0.0,0.0,0.0,0.0,0.075,0.035,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
19,0,0,0,0,0,0,0,PQ,1.0,1.0,1.0,2401.777119828844,1000000,0.95,1.05,0,0,abc,0.0,0.0,0.0
