fb,tb,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases,s_a,s_b,s_c
1,2,8.68055e-08,0.0,0.0,8.68055e-08,0.0,8.68055e-08,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch,CLOSED,1000000,2401.7771198288438,5.768533333333334,abc,0,0,0
2,3,1.73611e-05,0.0,0.0,1.73611e-05,0.0,1.73611e-05,1.73611e-05,0.0,0.0,1.73611e-05,0.0,1.73611e-05,switch,switch_125_69,CLOSED,1000000,2401.77712,5.768533333,abc,0,0,0
3,4,0.008732639,0.0,0.0,0.0,0.0,0.0,0.008854167,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_69_70,,1000000,2401.77712,5.768533333,a,0,0,0
4,5,0.012013889,0.0,0.0,0.0,0.0,0.0,0.0121875,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_70_71,,1000000,2401.77712,5.768533333,a,0,0,0
5,6,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_71_72,,1000000,2401.77712,5.768533333,a,0,0,0
6,7,0.012013889,0.0,0.0,0.0,0.0,0.0,0.0121875,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_72_73,,1000000,2401.77712,5.768533333,a,0,0,0
3,8,0.004166667,0.001388889,0.001423611,0.004131944,0.00140625,0.00421875,0.009635417,0.003472222,0.003836806,0.009739584,0.00453125,0.009479166,overhead_line,oh_line_69_74,,1000000,2401.77712,5.768533333,abc,0,0,0
8,9,0.0,0.0,0.0,0.0,0.0,0.012013889,0.0,0.0,0.0,0.0,0.0,0.0121875,overhead_line,oh_line_74_75,,1000000,2401.77712,5.768533333,c,0,0,0
9,10,0.0,0.0,0.0,0.0,0.0,0.015295139,0.0,0.0,0.0,0.0,0.0,0.015503472,overhead_line,oh_line_75_76,,1000000,2401.77712,5.768533333,c,0,0,0
10,11,0.0,0.0,0.0,0.0,0.0,0.017482639,0.0,0.0,0.0,0.0,0.0,0.017725694,overhead_line,oh_line_76_77,,1000000,2401.77712,5.768533333,c,0,0,0
8,12,0.003038194,0.001006945,0.001041667,0.003003472,0.001024305,0.003072917,0.006996528,0.002534723,0.002777778,0.007083333,0.003298612,0.006892361,overhead_line,oh_line_74_78,,1000000,2401.77712,5.768533333,abc,0,0,0
12,13,0.006024306,0.002013889,0.002048611,0.006076389,0.002083333,0.006128472,0.014184027,0.005069444,0.006597222,0.014010416,0.005572917,0.013784723,overhead_line,oh_line_78_79,,1000000,2401.77712,5.768533333,abc,0,0,0
13,14,0.001510416,0.000503472,0.000520833,0.001510416,0.000520833,0.001527778,0.003541667,0.001267361,0.001649306,0.003506945,0.001388889,0.003454861,overhead_line,oh_line_79_80,,1000000,2401.77712,5.768533333,abc,0,0,0
14,15,0.003385417,0.001128472,0.001145833,0.003420139,0.001163195,0.003454861,0.00796875,0.002847222,0.003715278,0.007881945,0.003142361,0.007760417,overhead_line,oh_line_80_81,,1000000,2401.77712,5.768533333,abc,0,0,0
14,16,0.007152778,0.002395833,0.002430555,0.007204861,0.002465278,0.007291666,0.016840278,0.006006944,0.007829861,0.016631944,0.006614583,0.016371528,overhead_line,oh_line_80_82,,1000000,2401.77712,5.768533333,abc,0,0,0
16,17,0.007152778,0.002395833,0.002430555,0.007204861,0.002465278,0.007291666,0.016840278,0.006006944,0.007829861,0.016631944,0.006614583,0.016371528,overhead_line,oh_line_82_83,,1000000,2401.77712,5.768533333,abc,0,0,0
17,18,0.003767361,0.001267361,0.001284722,0.003802083,0.001302083,0.003836806,0.008854167,0.003159722,0.004131944,0.00875,0.003489583,0.008611111,overhead_line,oh_line_83_84,,1000000,2401.77712,5.768533333,abc,0,0,0
18,19,0.003767361,0.001267361,0.001284722,0.003802083,0.001302083,0.003836806,0.008854167,0.003159722,0.004131944,0.00875,0.003489583,0.008611111,overhead_line,oh_line_84_85,,1000000,2401.77712,5.768533333,abc,0,0,0
17,20,0.0,0.0,0.0,0.0,0.0,0.029496528,0.0,0.0,0.0,0.0,0.0,0.029913194,overhead_line,oh_line_83_86,,1000000,2401.77712,5.768533333,c,0,0,0
20,21,0.0,0.0,0.0,0.0,0.0,0.020763889,0.0,0.0,0.0,0.0,0.0,0.021041667,overhead_line,oh_line_86_87,,1000000,2401.77712,5.768533333,c,0,0,0
12,22,0.010625,0.003541667,0.003628473,0.010538194,0.00359375,0.010746528,0.024513889,0.008854167,0.009756944,0.024809028,0.011545139,0.024131944,overhead_line,oh_line_78_88,,1000000,2401.77712,5.768533333,abc,0,0,0
22,23,0.006770833,0.002274305,0.002309028,0.006822917,0.00234375,0.006909722,0.015954861,0.005694445,0.007430556,0.015763889,0.006267361,0.015503472,overhead_line,oh_line_88_89,,1000000,2401.77712,5.768533333,abc,0,0,0
23,24,0.00765625,0.0,0.0,0.0,0.0,0.0,0.007760417,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_89_90,,1000000,2401.77712,5.768533333,a,0,0,0
23,25,0.004131944,0.001388889,0.00140625,0.004166667,0.001423611,0.00421875,0.009739584,0.003472222,0.00453125,0.009635417,0.003836806,0.009479166,overhead_line,oh_line_89_91,,1000000,2401.77712,5.768533333,abc,0,0,0
25,26,0.0,0.0,0.0,0.009826389,0.0,0.0,0.0,0.0,0.0,0.009965278,0.0,0.0,overhead_line,oh_line_91_92,,1000000,2401.77712,5.768533333,b,0,0,0
25,27,0.003385417,0.001128472,0.001145833,0.003420139,0.001163195,0.003454861,0.00796875,0.002847222,0.003715278,0.007881945,0.003142361,0.007760417,overhead_line,oh_line_91_93,,1000000,2401.77712,5.768533333,abc,0,0,0
27,28,0.0,0.0,0.0,0.0,0.0,0.013107639,0.0,0.0,0.0,0.0,0.0,0.013298612,overhead_line,oh_line_93_94,,1000000,2401.77712,5.768533333,c,0,0,0
27,29,0.003385417,0.001128472,0.001145833,0.003420139,0.001163195,0.003454861,0.00796875,0.002847222,0.003715278,0.007881945,0.003142361,0.007760417,overhead_line,oh_line_93_95,,1000000,2401.77712,5.768533333,abc,0,0,0
29,30,0.012013889,0.0,0.0,0.0,0.0,0.0,0.0121875,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_95_96,,1000000,2401.77712,5.768533333,a,0,0,0
29,31,0.004513889,0.001510416,0.001545139,0.004548611,0.0015625,0.004600695,0.010642361,0.003802083,0.004947916,0.010503473,0.004184027,0.010347223,overhead_line,oh_line_95_97,,1000000,2401.77712,5.768533333,abc,0,0,0
31,32,0.0,0.0,0.0,0.008732639,0.0,0.0,0.0,0.0,0.0,0.008854167,0.0,0.0,overhead_line,oh_line_97_98,,1000000,2401.77712,5.768533333,b,0,0,0
3,33,0.003802083,0.001267361,0.001302083,0.003767361,0.001284722,0.003836806,0.00875,0.003159722,0.003489583,0.008854167,0.004131944,0.008611111,overhead_line,oh_line_69_99,,1000000,2401.77712,5.768533333,abc,0,0,0
33,34,0.004166667,0.001388889,0.001423611,0.004131944,0.00140625,0.00421875,0.009635417,0.003472222,0.003836806,0.009739584,0.00453125,0.009479166,overhead_line,oh_line_99_100,,1000000,2401.77712,5.768533333,abc,0,0,0
34,35,0.008350694,0.002777778,0.002864584,0.00828125,0.002829861,0.0084375,0.019253472,0.006961806,0.00765625,0.019496528,0.009079861,0.018958333,overhead_line,oh_line_100_101,,1000000,2401.77712,5.768533333,abc,0,0,0
35,36,0.004548611,0.001510416,0.0015625,0.004513889,0.001545139,0.004600695,0.010503473,0.003802083,0.004184027,0.010642361,0.004947916,0.010347223,overhead_line,oh_line_101_102,,1000000,2401.77712,5.768533333,abc,0,0,0
36,37,0.012135417,0.004045139,0.004149306,0.01203125,0.004097222,0.012274305,0.028020833,0.010121528,0.011145833,0.028350695,0.013194444,0.027569444,overhead_line,oh_line_102_123,,1000000,2401.77712,5.768533333,abc,0,0,0
33,38,1.73611e-07,0.0,0.0,1.73611e-07,0.0,1.73611e-07,0.0,0.0,0.0,0.0,0.0,0.0,switch,switch_99_124,CLOSED,1000000,2401.77712,5.768533333,abc,0,0,0
38,39,0.003802083,0.001267361,0.001302083,0.003767361,0.001284722,0.003836806,0.00875,0.003159722,0.003489583,0.008854167,0.004131944,0.008611111,overhead_line,oh_line_124_103,,1000000,2401.77712,5.768533333,abc,0,0,0
39,40,0.0,0.0,0.0,0.0,0.0,0.009826389,0.0,0.0,0.0,0.0,0.0,0.009965278,overhead_line,oh_line_103_104,,1000000,2401.77712,5.768533333,c,0,0,0
40,41,0.0,0.0,0.0,0.0,0.0,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,overhead_line,oh_line_104_105,,1000000,2401.77712,5.768533333,c,0,0,0
41,42,0.0,0.0,0.0,0.0,0.0,0.030590278,0.0,0.0,0.0,0.0,0.0,0.031006944,overhead_line,oh_line_105_106,,1000000,2401.77712,5.768533333,c,0,0,0
39,43,0.004166667,0.001388889,0.001423611,0.004131944,0.00140625,0.00421875,0.009635417,0.003472222,0.003836806,0.009739584,0.00453125,0.009479166,overhead_line,oh_line_103_107,,1000000,2401.77712,5.768533333,abc,0,0,0
43,44,0.0,0.0,0.0,0.009826389,0.0,0.0,0.0,0.0,0.0,0.009965278,0.0,0.0,overhead_line,oh_line_107_108,,1000000,2401.77712,5.768533333,b,0,0,0
44,45,0.0,0.0,0.0,0.025138889,0.0,0.0,0.0,0.0,0.0,0.02546875,0.0,0.0,overhead_line,oh_line_108_109,,1000000,2401.77712,5.768533333,b,0,0,0
43,46,0.004930556,0.001631944,0.001684028,0.004895833,0.001666666,0.004982639,0.011388888,0.004114584,0.00453125,0.011527778,0.005364584,0.011197917,overhead_line,oh_line_107_110,,1000000,2401.77712,5.768533333,abc,0,0,0
46,47,0.019670139,0.0,0.0,0.0,0.0,0.0,0.019930555,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_110_111,,1000000,2401.77712,5.768533333,a,0,0,0
47,48,0.013107639,0.0,0.0,0.0,0.0,0.0,0.013298612,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_111_112,,1000000,2401.77712,5.768533333,a,0,0,0
48,49,0.025138889,0.0,0.0,0.0,0.0,0.0,0.02546875,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_112_113,,1000000,2401.77712,5.768533333,a,0,0,0
48,50,0.00546875,0.0,0.0,0.0,0.0,0.0,0.005538195,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_112_114,,1000000,2401.77712,5.768533333,a,0,0,0
50,51,0.022951389,0.0,0.0,0.0,0.0,0.0,0.023263889,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_114_115,,1000000,2401.77712,5.768533333,a,0,0,0
51,52,0.014201389,0.0,0.0,0.0,0.0,0.0,0.014392361,0.0,0.0,0.0,0.0,0.0,overhead_line,oh_line_115_116,,1000000,2401.77712,5.768533333,a,0,0,0
46,53,0.015173611,0.005052083,0.005190972,0.015052083,0.005121528,0.015347222,0.035017361,0.01265625,0.013923611,0.035451389,0.016493056,0.034461806,overhead_line,oh_line_110_121,,1000000,2401.77712,5.768533333,abc,0,0,0
