id,name,Pb_max_a,hmax_a,bmin_a,bmax_a,nc_a,nd_a,Pb_max_b,hmax_b,bmin_b,bmax_b,nc_b,nd_b,Pb_max_c,hmax_c,bmin_c,bmax_c,nc_c,nd_c,phases
3,3,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
9,54,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
10,55,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
15,60,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
21,65,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
22,66,0.0,0.0,0.0,0.0,0.0,0.0,0.03375,0.03375,0.02025,0.064125,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
23,67,0.021,0.021,0.0126,0.0399,0.95,0.95,0.021,0.021,0.0126,0.0399,0.95,0.95,0.021,0.021,0.0126,0.0399,0.95,0.95,abc
24,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03375,0.03375,0.02025,0.064125,0.95,0.95,c
46,108,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.036,0.021599999999999998,0.06839999999999999,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
49,71,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
51,73,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
53,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
54,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
55,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
56,78,0.03675,0.03675,0.02205,0.069825,0.95,0.95,0.03675,0.03675,0.02205,0.069825,0.95,0.95,0.03675,0.03675,0.02205,0.069825,0.95,0.95,abc
57,79,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
59,81,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
