id,name,Pb_max_a,hmax_a,bmin_a,bmax_a,nc_a,nd_a,Pb_max_b,hmax_b,bmin_b,bmax_b,nc_b,nd_b,Pb_max_c,hmax_c,bmin_c,bmax_c,nc_c,nd_c,phases
2,2,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
3,3,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
9,9,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
10,10,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
15,15,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
16,117,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
17,54,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
18,55,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
19,56,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
20,59,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
21,62,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
22,63,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
23,122,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
24,64,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
25,65,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
26,66,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
27,67,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
28,68,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
29,125,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
30,69,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
31,99,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
32,100,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
33,101,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
