fb,tb,from_name,to_name,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,1,2,1.733541789940828e-05,0.0,0.0,1.733541789940828e-05,0.0,1.733541789940828e-05,1.733541789940828e-05,0.0,0.0,1.733541789940828e-05,0.0,1.733541789940828e-05,line,line_1_2,,1000000.0,2401.7771198288433,5.768533333333334,abc
2,3,2,3,0.006015394304733727,0.0020455805103550295,0.002010909874260355,0.006119406213017751,0.002080251146449704,0.006067400258875738,0.01416304471153846,0.006587462795857987,0.005061944822485206,0.013764331397928991,0.0055646730399408284,0.013989690532544376,line,line_2_3,,1000000.0,2401.7771198288433,5.768533333333334,abc
3,4,3,9,0.004507211649408284,0.0015428532914201184,0.0015081816568047338,0.00459388923816568,0.0015601886094674553,0.004541882285502958,0.010626617862426033,0.004940596597633135,0.003796458616863905,0.01033191645710059,0.004177837610946745,0.010487935318047335,line,line_3_9,,1000000.0,2401.7771198288433,5.768533333333334,abc
4,5,9,10,0.0029990289940828403,0.0010227897559171597,0.0010054554363905324,0.003068371264792899,0.001040126072485207,0.0030336996301775147,0.0070728546967455605,0.003293732396449704,0.0025309734097633133,0.00688216519970414,0.002773668860946745,0.006986178106508875,line,line_9_10,,1000000.0,2401.7771198288433,5.768533333333334,abc
5,6,10,11,0.009811852921597631,0.0,0.0,0.0,0.0,0.0,0.00995053646449704,0.0,0.0,0.0,0.0,0.0,line,line_10_11,,1000000.0,2401.7771198288433,5.768533333333334,a
6,7,11,16,1.733541789940828e-05,0.0,0.0,0.0,0.0,0.0,1.733541789940828e-05,0.0,0.0,0.0,0.0,0.0,line,line_11_16,,1000000.0,2401.7771198288433,5.768533333333334,a
7,8,16,12,0.01090398494822485,0.0,0.0,0.0,0.0,0.0,0.011060003809171598,0.0,0.0,0.0,0.0,0.0,line,line_16_12,,1000000.0,2401.7771198288433,5.768533333333334,a
7,9,16,13,0.01090398494822485,0.0,0.0,0.0,0.0,0.0,0.011060003809171598,0.0,0.0,0.0,0.0,0.0,line,line_16_13,,1000000.0,2401.7771198288433,5.768533333333334,a
5,10,10,14,0.0,0.0,0.0,0.009811852921597631,0.0,0.0,0.0,0.0,0.0,0.00995053646449704,0.0,0.0,line,line_10_14,,1000000.0,2401.7771198288433,5.768533333333334,b
5,11,10,15,0.004507211649408284,0.0015428532914201184,0.0015081816568047338,0.00459388923816568,0.0015601886094674553,0.004541882285502958,0.010626617862426033,0.004940596597633135,0.003796458616863905,0.01033191645710059,0.004177837610946745,0.010487935318047335,line,line_10_15,,1000000.0,2401.7771198288433,5.768533333333334,abc
11,12,15,20,0.01263752773668639,0.004281850517751479,0.004229844563609466,0.012498844193786982,0.0041605032914201175,0.012394832285502956,0.02839543269230769,0.011476054437869821,0.0135909762204142,0.028846153957100586,0.010418593047337277,0.029192862315088754,line,line_15_20,,1000000.0,2401.7771198288433,5.768533333333334,abc
12,13,20,23,0.00459388923816568,0.0015601886094674553,0.0015428532914201184,0.004541882285502958,0.0015081816568047338,0.004507211649408284,0.01033191645710059,0.004177837610946745,0.004940596597633135,0.010487935318047335,0.003796458616863905,0.010626617862426033,line,line_20_23,,1000000.0,2401.7771198288433,5.768533333333334,abc
13,14,23,25,0.003831130251479289,0.0013001568417159762,0.001282821523668639,0.003796458616863905,0.0012654862056213016,0.00376178798076923,0.008598372670118341,0.003484420894970414,0.004125831656804734,0.008737056213017751,0.003155047855029585,0.008841069119822484,line,line_23_25,,1000000.0,2401.7771198288433,5.768533333333334,abc
14,15,25,26,0.0,0.0,0.0,0.0,0.0,0.024009569267751475,0.0,0.0,0.0,0.0,0.0,0.024338942307692304,line,line_25_26,,1000000.0,2401.7771198288433,5.768533333333334,c
14,16,25,27,0.00421250924556213,0.001421505066568047,0.0014041697485207099,0.0041605032914201175,0.0013868344304733724,0.004125831656804734,0.009465143565088758,0.003831130251479289,0.004524546967455621,0.009621163424556212,0.003467085576923076,0.009725176331360946,line,line_25_27,,1000000.0,2401.7771198288433,5.768533333333334,abc
