id,name,bus,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
3,3,3,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
5,9,9,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
7,15,15,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
8,20,20,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
9,23,23,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
11,25,25,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
18,30,30,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
21,119,119,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
26,37,37,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
33,44,44,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
38,49,49,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
39,51,51,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
42,120,120,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
43,50,50,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
47,56,56,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
48,59,59,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
49,62,62,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
51,65,65,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
53,67,67,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
56,122,122,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
63,78,78,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
64,88,88,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
68,93,93,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
69,95,95,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
88,99,99,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
90,103,103,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
94,107,107,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
95,110,110,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
106,101,101,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
107,102,102,0.01,0.01,0.01,0.0,0.0,0.0,0.012,0.012,0.012,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
