id,name,Pb_max_c,hmax_c,bmin_c,bmax_c,nc_c,nd_c,Pb_max_a,hmax_a,bmin_a,bmax_a,nc_a,nd_a,Pb_max_b,hmax_b,bmin_b,bmax_b,nc_b,nd_b,phases
23,l3048230,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
24,l2991943,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
26,l2991921,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
28,l2841637,0.0059264999999999995,0.0059264999999999995,0.0035559,0.011260349999999999,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
29,l3254205,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
30,l3254238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
31,l2673346,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
42,l3010569,0.0,0.0,0.0,0.0,0.0,0.0,0.005985000000000001,0.005985000000000001,0.003591,0.0113715,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
54,l3216370,0.0026265,0.0026265,0.0015759,0.00499035,0.95,0.95,0.0026265,0.0026265,0.0015759,0.00499035,0.95,0.95,0.0026265,0.0026265,0.0015759,0.00499035,0.95,0.95,abc
60,l2897780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
71,l2860491,0.0,0.0,0.0,0.0,0.0,0.0,0.0047565,0.0047565,0.0028539,0.00903735,0.95,0.95,0.0047565,0.0047565,0.0028539,0.00903735,0.95,0.95,ab
78,l2991923,0.0,0.0,0.0,0.0,0.0,0.0,0.0053415,0.0053415,0.0032048999999999997,0.01014885,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
80,l3104134,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
81,l2860490,0.0,0.0,0.0,0.0,0.0,0.0,0.0053415,0.0053415,0.0032048999999999997,0.01014885,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
96,l2766718,0.006867,0.006867,0.004120199999999999,0.0130473,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
109,l2691951,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
124,l3235266,0.0059264999999999995,0.0059264999999999995,0.0035559,0.011260349999999999,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
135,l2897776,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
137,l3122819,0.006867,0.006867,0.004120199999999999,0.0130473,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
145,l3232301,0.0,0.0,0.0,0.0,0.0,0.0,0.013734,0.013734,0.008240399999999998,0.0260946,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
147,l2763811,0.0,0.0,0.0,0.0,0.0,0.0,0.013734,0.013734,0.008240399999999998,0.0260946,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
148,l2763812,0.0,0.0,0.0,0.0,0.0,0.0,0.013734,0.013734,0.008240399999999998,0.0260946,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
149,l2951995,0.0,0.0,0.0,0.0,0.0,0.0,0.013734,0.013734,0.008240399999999998,0.0260946,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
150,l3101194,0.0,0.0,0.0,0.0,0.0,0.0,0.015084000000000002,0.015084000000000002,0.0090504,0.028659599999999997,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
151,l2862616,0.0,0.0,0.0,0.0,0.0,0.0,0.013734,0.013734,0.008240399999999998,0.0260946,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
154,l2970258,0.0,0.0,0.0,0.0,0.0,0.0,0.006867,0.006867,0.004120199999999999,0.0130473,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,a
162,l3125349,0.0045765,0.0045765,0.0027459000000000003,0.00869535,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
170,l3085391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087525,0.0087525,0.005251499999999999,0.01662975,0.95,0.95,b
176,l3197636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057285,0.0057285,0.0034371000000000002,0.01088415,0.95,0.95,b
178,l3104127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
179,l2691949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
181,l3235252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057285,0.0057285,0.0034371000000000002,0.01088415,0.95,0.95,b
193,l2954349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
194,l2766722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
195,l2879071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
196,l3029504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
197,l3046854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065655,0.0065655,0.0039393,0.01247445,0.95,0.95,b
200,l2913406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065655,0.0065655,0.0039393,0.01247445,0.95,0.95,b
201,l2785547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
203,l3139086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
205,l2710546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080716,0.0080716,0.00484293,0.015335944999999998,0.95,0.95,b
207,l3254214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
209,l3160104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
211,l2973180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057285,0.0057285,0.0034371000000000002,0.01088415,0.95,0.95,b
220,l2991915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
221,l2673320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0043785,0.0026271,0.008319149999999999,0.95,0.95,b
222,l3048209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057285,0.0057285,0.0034371000000000002,0.01088415,0.95,0.95,b
223,l2841634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065655,0.0065655,0.0039393,0.01247445,0.95,0.95,b
224,l2991916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057285,0.0057285,0.0034371000000000002,0.01088415,0.95,0.95,b
227,l2804258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057285,0.0057285,0.0034371000000000002,0.01088415,0.95,0.95,b
231,l2822877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060649,0.0060649,0.0036389099999999995,0.011523214999999998,0.95,0.95,b
