fb,tb,from_name,to_name,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,sourcebus,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0033568937543126745,0.0,0.0,0.0033568937543126745,0.0,0.0033568937543126745,reactor,hvmv_sub_hsb,,1000000.0,66395.28095680696,4408.333333333334,abc
2,3,hvmv115_hsb1,hvmv115_hsb2,2.2684310018903586e-10,0.0,0.0,2.2684310018903586e-10,0.0,2.2684310018903586e-10,2.2684310018903586e-10,0.0,0.0,2.2684310018903586e-10,0.0,2.2684310018903586e-10,switch,hvmv115b1_sw,CLOSED,1000000.0,66395.28095680696,4408.333333333334,abc
3,4,hvmv115_hsb2,regxfmr_hvmv69sub1_lsb1,0.000536,0.0,0.0,0.000536,0.0,0.000536,0.0028199999999999996,0.0,0.0,0.0028199999999999996,0.0,0.0028199999999999996,transformer,hvmv115_69sub,,1000000.0,39837.16857408418,1587.0,abc
4,5,regxfmr_hvmv69sub1_lsb1,hvmv69sub1_lsb2,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,switch,hvmv69s1b4_sw,CLOSED,1000000.0,39837.16857408418,1587.0,abc
5,6,hvmv69sub1_lsb2,hvmv69s1s2_1,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,switch,hvmv69s1b3_sw,CLOSED,1000000.0,39837.16857408418,1587.0,abc
6,7,hvmv69s1s2_1,hvmv69s1s2_2,6.18357487922705e-05,2.5288804872925835e-05,2.5288804872925835e-05,6.18357487922705e-05,2.5288804872925835e-05,6.18357487922705e-05,0.00013566477630749842,5.9672337744171396e-05,5.9672337744171396e-05,0.00013566477630749842,5.9672337744171396e-05,0.00013566477630749842,line,hvmv69s1s2-1,,1000000.0,39837.16857408418,1587.0,abc
7,8,hvmv69s1s2_2,hvmv69s1s2_3,4.637681159420288e-05,1.8966603654694374e-05,1.8966603654694374e-05,4.637681159420288e-05,1.8966603654694374e-05,4.637681159420288e-05,0.00010174858223062381,4.475425330812855e-05,4.475425330812855e-05,0.00010174858223062381,4.475425330812855e-05,0.00010174858223062381,line,hvmv69s1s2-2,,1000000.0,39837.16857408418,1587.0,abc
8,9,hvmv69s1s2_3,hvmv69s1s2_4,4.637681159420288e-05,1.8966603654694374e-05,1.8966603654694374e-05,4.637681159420288e-05,1.8966603654694374e-05,4.637681159420288e-05,0.00010174858223062381,4.475425330812855e-05,4.475425330812855e-05,0.00010174858223062381,4.475425330812855e-05,0.00010174858223062381,line,hvmv69s1s2-3,,1000000.0,39837.16857408418,1587.0,abc
9,10,hvmv69s1s2_4,hvmv69s1s2_5,0.000123671497584541,5.057760974585167e-05,5.057760974585167e-05,0.000123671497584541,5.057760974585167e-05,0.000123671497584541,0.00027132955261499684,0.00011934467548834279,0.00011934467548834279,0.00027132955261499684,0.00011934467548834279,0.00027132955261499684,line,hvmv69s1s2-4,,1000000.0,39837.16857408418,1587.0,abc
10,11,hvmv69s1s2_5,hvmv69s1s2_6,0.000123671497584541,5.057760974585167e-05,5.057760974585167e-05,0.000123671497584541,5.057760974585167e-05,0.000123671497584541,0.00027132955261499684,0.00011934467548834279,0.00011934467548834279,0.00027132955261499684,0.00011934467548834279,0.00027132955261499684,line,hvmv69s1s2-5,,1000000.0,39837.16857408418,1587.0,abc
11,12,hvmv69s1s2_6,hvmv69s1s2_7,0.000123671497584541,5.057760974585167e-05,5.057760974585167e-05,0.000123671497584541,5.057760974585167e-05,0.000123671497584541,0.00027132955261499684,0.00011934467548834279,0.00011934467548834279,0.00027132955261499684,0.00011934467548834279,0.00027132955261499684,line,hvmv69s1s2-6,,1000000.0,39837.16857408418,1587.0,abc
