id,name,bus,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
23,l3048230,l3048230,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
24,l2991943,l2991943,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
26,l2991921,l2991921,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
28,l2841637,l2841637,0.0,0.0,0.0059265,0.0,0.0,0.0,0.0,0.0,0.0059265,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
29,l3254205,l3254205,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
30,l3254238,l3254238,0.0,0.0043785,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
31,l2673346,l2673346,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
42,l3010569,l3010569,0.005985,0.0,0.0,0.0,0.0,0.0,0.005985,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
54,l3216370,l3216370,0.0029475,0.0031005,0.0018315,0.0,0.0,0.0,0.0029475,0.0031005,0.0018315,cba,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
60,l2897780,l2897780,0.0,0.0043785,0.0,0.0,0.0,0.0,0.0,0.0043785,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
71,l2860491,l2860491,0.0029475,0.0065655,0.0,0.0,0.0,0.0,0.0029475,0.0065655,0.0,ba,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
78,l2991923,l2991923,0.0053415,0.0,0.0,0.0,0.0,0.0,0.0053415,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
80,l3104134,l3104134,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
81,l2860490,l2860490,0.0053415,0.0,0.0,0.0,0.0,0.0,0.0053415,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
96,l2766718,l2766718,0.0,0.0,0.006867,0.0,0.0,0.0,0.0,0.0,0.006867,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
109,l2691951,l2691951,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
124,l3235266,l3235266,0.0,0.0,0.0059265,0.0,0.0,0.0,0.0,0.0,0.0059265,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
135,l2897776,l2897776,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
137,l3122819,l3122819,0.0,0.0,0.006867,0.0,0.0,0.0,0.0,0.0,0.006867,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
145,l3232301,l3232301,0.013734,0.0,0.0,0.0,0.0,0.0,0.013734,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
147,l2763811,l2763811,0.013734,0.0,0.0,0.0,0.0,0.0,0.013734,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
148,l2763812,l2763812,0.013734,0.0,0.0,0.0,0.0,0.0,0.013734,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
149,l2951995,l2951995,0.013734,0.0,0.0,0.0,0.0,0.0,0.013734,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
150,l3101194,l3101194,0.015084,0.0,0.0,0.0,0.0,0.0,0.015084,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
151,l2862616,l2862616,0.013734,0.0,0.0,0.0,0.0,0.0,0.013734,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
154,l2970258,l2970258,0.006867,0.0,0.0,0.0,0.0,0.0,0.006867,0.0,0.0,a,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
162,l3125349,l3125349,0.0,0.0,0.0045765,0.0,0.0,0.0,0.0,0.0,0.0045765,c,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
170,l3085391,l3085391,0.0,0.0087525,0.0,0.0,0.0,0.0,0.0,0.0087525,0.0,b,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
