fb,tb,from_name,to_name,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,_392-5165_sn,_392-5165_ln,1.7217630853994492e-05,0.0,0.0,1.7217630853994492e-05,0.0,1.7217630853994492e-05,1.7217630853994492e-05,0.0,0.0,1.7217630853994492e-05,0.0,1.7217630853994492e-05,switch,_392-5165-0,CLOSED,1000000.0,7621.02355330306,58.08,abc
2,3,_392-5165_ln,_416-4523_sn,0.0018151726768227178,0.000217464479794613,0.00023227420190722272,0.0018261409613081721,0.00021746447979461317,0.001815172676822718,0.0008891723335513855,-0.00016887345287029608,-0.0001699634797057733,0.0008905331647025609,-0.00016887345287029614,0.0008891723335513857,line,_389-152001-0,,1000000.0,7621.02355330306,58.08,abc
3,4,_416-4523_sn,_416-4523_ln,0.0,0.0,0.0,0.0,0.0,0.0,0.00030347107438016537,0.0,0.0,0.00030347107438016537,0.0,0.00030347107438016537,transformer,_416:4523_c_tnk,,1000000.0,7621.02355330306,58.08,cab
4,5,_416-4523_ln,_500-15112_n,0.005668450831433146,0.0006791016232442679,0.0007253496649289079,0.005702702769061359,0.0006791016232442684,0.0056684508314331465,0.0027767218611009126,-0.0005273607720920468,-0.0005307647256666791,0.0027809714868080506,-0.000527360772092047,0.002776721861100913,line,_389-274673-0,,1000000.0,7621.02355330306,58.08,abc
5,6,_500-15112_n,_396-7712_sn,0.0006271665512587623,0.00022588368943661535,0.0002261506304775984,0.0006266327933504137,0.00022588368943661535,0.0006271665512587623,0.0034111344520805337,0.0019136264122205566,0.0019460558119754235,0.0034116842342410965,0.0019136264122205566,0.0034111344520805337,line,_389-154243-0,,1000000.0,7621.02355330306,58.08,abc
6,7,_396-7712_sn,_396-7712_ln,1.7217630853994492e-05,0.0,0.0,1.7217630853994492e-05,0.0,1.7217630853994492e-05,1.7217630853994492e-05,0.0,0.0,1.7217630853994492e-05,0.0,1.7217630853994492e-05,switch,_396-7712-0_c,CLOSED,1000000.0,7621.02355330306,58.08,cba
7,8,_396-7712_ln,_500-15126_n,0.0003946035765951798,0.00014212255351836721,0.0001422905087278734,0.0003942677443043033,0.00014212255351836721,0.0003946035765951798,0.002146233488275833,0.0012040243935421188,0.0012244284745703898,0.002146579402780474,0.0012040243935421188,0.002146233488275833,line,_389-445931-0,,1000000.0,7621.02355330306,58.08,abc
8,9,_500-15126_n,_500-2944322_n,0.00027887238388854795,0.0001004401826409572,0.00010055887915675068,0.00027863504607130975,0.0001004401826409572,0.00027887238388854795,0.0015167760374126997,0.0008509024570537949,0.0008653223332406916,0.0015170205004846344,0.0008509024570537949,0.0015167760374126997,line,_389-446129-11,,1000000.0,7621.02355330306,58.08,abc
9,10,_500-2944322_n,_393-71378_n,0.0005859367847275776,0.000211034154237421,0.00021128354664355547,0.0005854381159257849,0.000211034154237421,0.0005859367847275776,0.0031868873572960823,0.0017878251078534658,0.0018181226072734756,0.003187400996919902,0.0017878251078534658,0.0031868873572960823,line,_389-446129-13,,1000000.0,7621.02355330306,58.08,abc
10,11,_393-71378_n,_409-1200484_n,9.905303252871922e-05,3.567547470853671e-05,3.571763467316282e-05,9.896873221112096e-05,3.567547470853671e-05,9.905303252871922e-05,0.0005387455870591556,0.00030223311316118404,0.0003073549271073495,0.0005388324182049248,0.00030223311316118404,0.0005387455870591556,line,_389-446129-15,,1000000.0,7621.02355330306,58.08,abc
11,12,_409-1200484_n,_500-15132_n,5.511412322751812e-05,1.9850200030134527e-05,1.9873658266862386e-05,5.5067217666187815e-05,1.9850200030134527e-05,5.511412322751812e-05,0.0002997635702354789,0.00016816560398968443,0.00017101543380075598,0.0002998118839755607,0.00016816560398968443,0.0002997635702354789,line,_389-446129-16,,1000000.0,7621.02355330306,58.08,abc
12,13,_500-15132_n,_500-15137_n,0.0005158377155534071,0.0001857868952129181,0.00018600645133639405,0.0005153987054379146,0.0001857868952129181,0.0005158377155534071,0.002805621249531141,0.0015739370585393967,0.001600609889628274,0.0028060734394210318,0.0015739370585393967,0.002805621249531141,line,_389-446130-0,,1000000.0,7621.02355330306,58.08,abc
13,14,_500-15137_n,_403-1278617_sn,3.513419529864828e-05,1.2654121370976698e-05,1.2669075546463733e-05,3.510429390394462e-05,1.2654121370976698e-05,3.513419529864828e-05,0.00019109352019619624,0.0001072023435571721,0.00010901905534149576,0.00019112431927781519,0.0001072023435571721,0.00019109352019619624,line,_389-3108929-0,,1000000.0,7621.02355330306,58.08,abc
14,15,_403-1278617_sn,_403-1278617_ln,1.7217630853994492e-05,0.0,0.0,1.7217630853994492e-05,0.0,1.7217630853994492e-05,1.7217630853994492e-05,0.0,0.0,1.7217630853994492e-05,0.0,1.7217630853994492e-05,switch,_403-1278617-0,CLOSED,1000000.0,7621.02355330306,58.08,abc
15,16,_403-1278617_ln,_409-23073_n,0.000601429694943608,0.00021661416438414086,0.0002168701510411527,0.0006009178407075243,0.00021661416438414086,0.000601429694943608,0.0032711526927078987,0.0018350974665786767,0.0018661960702312911,0.0032716799136134926,0.0018350974665786767,0.0032711526927078987,line,_389-160365-0,,1000000.0,7621.02355330306,58.08,abc
16,17,_409-23073_n,_409-23073_n_sec,0.0,0.0,0.0,0.0,0.0,0.0,0.40800038046035486,0.0,0.0,0.40800038046035486,0.0,0.40800038046035486,transformer,avc10829_avc12818_avc12597_tnk,,1000000.0,119.99994404998696,0.014399986572000001,abc
17,18,_409-23073_n_sec,_406-92372_n,3.5944459267080395,0.8865084340346221,0.8519570286977656,3.619455349493459,0.8865084340346222,3.59444592670804,1.0556943819280682,0.4400933781160149,0.3355291889182436,0.9867922140562511,0.44009337811601484,1.055694381928068,line,_389-153101-0,,1000000.0,119.99994404998696,0.014399986572000001,abc
16,19,_409-23073_n,_409-23055_n,0.0006059167126564475,0.00021823023289657884,0.00021848812936395406,0.0006054010396880281,0.00021823023289657884,0.0006059167126564475,0.003295557407335365,0.0018487883682859777,0.001880118985732736,0.0032960885616176478,0.0018487883682859777,0.003295557407335365,line,_389-160365-1,,1000000.0,7621.02355330306,58.08,abc
