fb,tb,ratio_a,ratio_b,ratio_c,phases,tap_a,tap_b,tap_c
3,4,1.0,1.0,1.0,cab,0.0,0.0,0.0
16,17,1.0,1.0,1.0,abc,0.0,0.0,0.0
29,32,1.0,1.0,1.0,c,0.0,0.0,0.0
42,43,1.0,1.0,1.0,a,0.0,0.0,0.0
56,61,1.0,1.0,1.0,abc,0.0,0.0,0.0
65,70,1.0,1.0,1.0,abc,0.0,0.0,0.0
90,91,1.0,1.0,1.0,abc,0.0,0.0,0.0
93,94,1.0,1.0,1.0,b,0.0,0.0,0.0
104,105,1.0,1.0,1.0,abc,0.0,0.0,0.0
126,127,1.0,1.0,1.0,b,0.0,0.0,0.0
152,153,1.0,1.0,1.0,a,0.0,0.0,0.0
165,166,1.0,1.0,1.0,a,0.0,0.0,0.0
174,175,1.0,1.0,1.0,a,0.0,0.0,0.0
164,178,1.0,1.0,1.0,a,0.0,0.0,0.0
194,195,1.0,1.0,1.0,c,0.0,0.0,0.0
206,207,1.0,1.0,1.0,c,0.0,0.0,0.0
200,210,1.0,1.0,1.0,c,0.0,0.0,0.0
199,225,1.0,1.0,1.0,c,0.0,0.0,0.0
191,230,1.0,1.0,1.0,c,0.0,0.0,0.0
188,240,1.0,1.0,1.0,abc,0.0,0.0,0.0
185,248,1.0,1.0,1.0,a,0.0,0.0,0.0
261,262,1.0,1.0,1.0,abc,0.0,0.0,0.0
267,268,1.0,1.0,1.0,abc,0.0,0.0,0.0
275,277,1.0,1.0,1.0,abc,0.0,0.0,0.0
274,280,1.0,1.0,1.0,c,0.0,0.0,0.0
273,300,1.0,1.0,1.0,abc,0.0,0.0,0.0
260,311,1.0,1.0,1.0,b,0.0,0.0,0.0
319,320,1.0,1.0,1.0,abc,0.0,0.0,0.0
328,329,1.0,1.0,1.0,b,0.0,0.0,0.0
347,348,1.0,1.0,1.0,b,0.0,0.0,0.0
354,355,1.0,1.0,1.0,c,0.0,0.0,0.0
381,382,1.0,1.0,1.0,a,0.0,0.0,0.0
397,398,1.0,1.0,1.0,c,0.0,0.0,0.0
407,409,1.0,1.0,1.0,c,0.0,0.0,0.0
394,418,1.0,1.0,1.0,abc,0.0,0.0,0.0
421,422,1.0,1.0,1.0,b,0.0,0.0,0.0
445,450,1.0,1.0,1.0,abc,0.0,0.0,0.0
442,454,1.0,1.0,1.0,abc,0.0,0.0,0.0
464,465,1.0,1.0,1.0,b,0.0,0.0,0.0
477,480,1.0,1.0,1.0,abc,0.0,0.0,0.0
486,489,1.0,1.0,1.0,abc,0.0,0.0,0.0
504,507,1.0,1.0,1.0,abc,0.0,0.0,0.0
428,511,1.0,1.0,1.0,a,0.0,0.0,0.0
427,518,1.0,1.0,1.0,a,0.0,0.0,0.0
529,534,1.0,1.0,1.0,abc,0.0,0.0,0.0
96,542,1.0,1.0,1.0,abc,0.0,0.0,0.0
549,550,1.0,1.0,1.0,abc,0.0,0.0,0.0
561,562,1.0,1.0,1.0,abc,0.0,0.0,0.0
564,565,1.0,1.0,1.0,abc,0.0,0.0,0.0
575,576,1.0,1.0,1.0,abc,0.0,0.0,0.0
583,585,1.0,1.0,1.0,abc,0.0,0.0,0.0
592,593,1.0,1.0,1.0,abc,0.0,0.0,0.0
603,605,1.0,1.0,1.0,ac,0.0,0.0,0.0
609,611,1.0,1.0,1.0,bc,0.0,0.0,0.0
619,621,1.0,1.0,1.0,b,0.0,0.0,0.0
636,637,1.0,1.0,1.0,b,0.0,0.0,0.0
633,639,1.0,1.0,1.0,b,0.0,0.0,0.0
645,646,1.0,1.0,1.0,abc,0.0,0.0,0.0
615,652,1.0,1.0,1.0,abc,0.0,0.0,0.0
597,654,1.0,1.0,1.0,abc,0.0,0.0,0.0
658,659,1.0,1.0,1.0,c,0.0,0.0,0.0
665,666,1.0,1.0,1.0,bc,0.0,0.0,0.0
673,674,1.0,1.0,1.0,ac,0.0,0.0,0.0
683,684,1.0,1.0,1.0,ac,0.0,0.0,0.0
687,689,1.0,1.0,1.0,a,0.0,0.0,0.0
691,692,1.0,1.0,1.0,abc,0.0,0.0,0.0
696,697,1.0,1.0,1.0,abc,0.0,0.0,0.0
715,716,1.0,1.0,1.0,b,0.0,0.0,0.0
730,733,1.0,1.0,1.0,abc,0.0,0.0,0.0
745,748,1.0,1.0,1.0,abc,0.0,0.0,0.0
754,755,1.0,1.0,1.0,abc,0.0,0.0,0.0
757,758,1.0,1.0,1.0,abc,0.0,0.0,0.0
570,766,1.0,1.0,1.0,ac,0.0,0.0,0.0
773,774,1.0,1.0,1.0,abc,0.0,0.0,0.0
36,781,1.0,1.0,1.0,abc,0.0,0.0,0.0
788,790,1.0,1.0,1.0,bc,0.0,0.0,0.0
19,793,1.0,1.0,1.0,bc,0.0,0.0,0.0
798,799,1.0,1.0,1.0,abc,0.0,0.0,0.0
802,803,1.0,1.0,1.0,ab,0.0,0.0,0.0
805,806,1.0,1.0,1.0,abc,0.0,0.0,0.0
811,812,1.0,1.0,1.0,abc,0.0,0.0,0.0
818,819,1.0,1.0,1.0,a,0.0,0.0,0.0
823,824,1.0,1.0,1.0,abc,0.0,0.0,0.0
828,833,1.0,1.0,1.0,a,0.0,0.0,0.0
827,836,1.0,1.0,1.0,bc,0.0,0.0,0.0
848,850,1.0,1.0,1.0,ac,0.0,0.0,0.0
847,857,1.0,1.0,1.0,abc,0.0,0.0,0.0
842,861,1.0,1.0,1.0,bc,0.0,0.0,0.0
874,876,1.0,1.0,1.0,ac,0.0,0.0,0.0
889,890,1.0,1.0,1.0,abc,0.0,0.0,0.0
886,894,1.0,1.0,1.0,bc,0.0,0.0,0.0
885,904,1.0,1.0,1.0,b,0.0,0.0,0.0
910,913,1.0,1.0,1.0,abc,0.0,0.0,0.0
840,917,1.0,1.0,1.0,abc,0.0,0.0,0.0
924,925,1.0,1.0,1.0,abc,0.0,0.0,0.0
810,931,1.0,1.0,1.0,b,0.0,0.0,0.0
809,934,1.0,1.0,1.0,abc,0.0,0.0,0.0
948,949,1.0,1.0,1.0,abc,0.0,0.0,0.0
957,962,1.0,1.0,1.0,abc,0.0,0.0,0.0
797,999,1.0,1.0,1.0,abc,0.0,0.0,0.0
1003,1004,1.0,1.0,1.0,abc,0.0,0.0,0.0
1009,1010,1.0,1.0,1.0,a,0.0,0.0,0.0
11,1017,1.0,1.0,1.0,b,0.0,0.0,0.0
1025,1026,1.0,1.0,1.0,bc,0.0,0.0,0.0
1032,1033,1.0,1.0,1.0,abc,0.0,0.0,0.0
1038,1039,1.0,1.0,1.0,abc,0.0,0.0,0.0
1051,1053,1.0,1.0,1.0,a,0.0,0.0,0.0
1037,1058,1.0,1.0,1.0,abc,0.0,0.0,0.0
1060,1062,1.0,1.0,1.0,abc,0.0,0.0,0.0
1065,1066,1.0,1.0,1.0,bc,0.0,0.0,0.0
1031,1071,1.0,1.0,1.0,abc,0.0,0.0,0.0
1024,1074,1.0,1.0,1.0,bc,0.0,0.0,0.0
1023,1078,1.0,1.0,1.0,bc,0.0,0.0,0.0
1083,1084,1.0,1.0,1.0,abc,0.0,0.0,0.0
1090,1092,1.0,1.0,1.0,abc,0.0,0.0,0.0
