fb,tb,from_name,to_name,raa,rab,rac,rbb,rbc,rcc,xaa,xab,xac,xbb,xbc,xcc,type,name,status,s_base,v_ln_base,z_base,phases
1,2,_392-5165_sn,_392-5165_ln,1.7217630853994492e-05,0,0,1.7217630853994492e-05,0,1.7217630853994492e-05,1.7217630853994492e-05,0,0,1.7217630853994492e-05,0,1.7217630853994492e-05,switch,_392-5165-0,CLOSED,1000000,7621.023553,58.08,abc
2,3,_392-5165_ln,_416-4523_sn,0.001811151,0.000216855,0.000231735,0.001821976,0.000216855,0.001811151,0.000889899,-0.000168156,-0.000169237,0.000891239,-0.000168156,0.000889899,line,_389-152001-0,,1000000,7621.023553,58.08,abc
3,4,_416-4523_sn,_416-4523_ln,0,0,0,0,0,0,0.000303471,0,0,0.000303471,0,0.000303471,transformer,_416:4523_c_tnk_416:4523_a_tnk_416:4523_b_tnk,,1000000,7621.023553,58.08,cab
4,5,_416-4523_ln,_500-15112_n,0.005655891,0.000677197,0.000723666,0.005689697,0.000677197,0.005655891,0.002778991,-0.000525122,-0.000528496,0.002783175,-0.000525122,0.002778991,line,_389-274673-0,,1000000,7621.023553,58.08,abc
5,6,_500-15112_n,_396-7712_sn,0.000638424,0.000230219,0.000230219,0.000638424,0.000230219,0.000638424,0.003384211,0.001886428,0.001919132,0.003384211,0.001886428,0.003384211,line,_389-154243-0,,1000000,7621.023553,58.08,abc
6,7,_396-7712_sn,_396-7712_ln,1.7217630853994492e-05,0,0,1.7217630853994492e-05,0,1.7217630853994492e-05,1.7217630853994492e-05,0,0,1.7217630853994492e-05,0,1.7217630853994492e-05,switch,_396-7712-0_c_396-7712-0_b_396-7712-0_a,CLOSED,1000000,7621.023553,58.08,cba
7,8,_396-7712_ln,_500-15126_n,0.000401686,0.00014485,0.00014485,0.000401686,0.00014485,0.000401686,0.002129293,0.001186911,0.001207488,0.002129293,0.001186911,0.002129293,line,_389-445931-0,,1000000,7621.023553,58.08,abc
8,9,_500-15126_n,_500-2944322_n,1.721763085399449e-11,0,0,1.721763085399449e-11,0,1.721763085399449e-11,1.721763085399449e-11,0,0,1.721763085399449e-11,0,1.721763085399449e-11,switch,_389-446129-11,CLOSED,1000000,7621.023553,58.08,abc
9,10,_500-2944322_n,_393-71378_n,0.000596454,0.000215084,0.000215084,0.000596454,0.000215084,0.000596454,0.003161734,0.001762415,0.001792969,0.003161734,0.001762415,0.003161734,line,_389-446129-13,,1000000,7621.023553,58.08,abc
10,11,_393-71378_n,_409-1200484_n,0.000100831,3.636011023683012e-05,3.636011023683012e-05,0.000100831,3.636011023683012e-05,0.000100831,0.000534493,0.000297937,0.000303103,0.000534493,0.000297937,0.000534493,line,_389-446129-15,,1000000,7621.023553,58.08,abc
11,12,_409-1200484_n,_500-15132_n,5.610339032609553e-05,2.0231138259979837e-05,2.0231138259979837e-05,5.610339032609553e-05,2.0231138259979837e-05,5.610339032609553e-05,0.000297398,0.000165775,0.000168649,0.000297398,0.000165775,0.000297398,line,_389-446129-16,,1000000,7621.023553,58.08,abc
12,13,_500-15132_n,_500-15130_n,0.000106174,3.828688530920916e-05,3.828688530920916e-05,0.000106174,3.828688530920916e-05,0.000106174,0.000562817,0.000313726,0.000319165,0.000562817,0.000313726,0.000562817,line,_401-298935-1,,1000000,7621.023553,58.08,abc
13,14,_500-15130_n,_409-23069_n,1.721763085399449e-11,0,0,1.721763085399449e-11,0,1.721763085399449e-11,1.721763085399449e-11,0,0,1.721763085399449e-11,0,1.721763085399449e-11,switch,_389-150166-0,CLOSED,1000000,7621.023553,58.08,abc
14,15,_409-23069_n,_409-23050_n,0.000387639,0.000139784,0.000139784,0.000387639,0.000139784,0.000387639,0.00205483,0.001145404,0.001165261,0.00205483,0.001145404,0.00205483,line,_389-150166-1,,1000000,7621.023553,58.08,abc
15,16,_409-23050_n,_500-15131_n,2.2579244647368714e-05,8.142178531666233e-06,8.142178531666233e-06,2.2579244647368714e-05,8.142178531666233e-06,2.2579244647368714e-05,0.00011969,6.671761321582408e-05,6.787427153113187e-05,0.00011969,6.671761321582408e-05,0.00011969,line,_389-150166-2,,1000000,7621.023553,58.08,abc
15,17,_409-23050_n,_409-23050_n_sec,0,0,0,0,0,0,0.40800038046035486,0,0,0.40800038046035486,0,0.40800038046035486,transformer,ava14379_____tnk,,1000000,119.99994404998696,0.014399986572000001,a
17,18,_409-23050_n_sec,_406-92351_n,11.43878650486286,3.2951841256758643,0,11.43878650486286,0,0,4.654695225364409,3.5601884934868813,0,4.654695225364409,0,0,line,_389-153048-0,,1000000,119.99994404998696,0.014399986572000001,ab
17,19,_409-23050_n_sec,_406-92352_n,12.46366533556237,3.5904221259852998,0,12.46366533556237,0,0,5.071741089259677,3.879170040937174,0,5.071741089259677,0,0,line,_389-153049-0,,1000000,119.99994404998696,0.014399986572000001,ab
17,20,_409-23050_n_sec,_406-92353_n,12.298545968394116,3.542856003713224,0,12.298545968394116,0,0,5.004550366743217,3.827778569403516,0,5.004550366743217,0,0,line,_389-153050-0,,1000000,119.99994404998696,0.014399986572000001,ab
14,21,_409-23069_n,_409-23069_n_sec,0,0,0,0,0,0,0.40800038046035486,0,0,0.40800038046035486,0,0.40800038046035486,transformer,ave01687_ave01464_ave01761_tnk,,1000000,119.99994404998696,0.014399986572000001,abc
21,22,_409-23069_n_sec,_406-92370_n,3.6545208865861247,0.8982684826752112,0.8630413818806932,3.680094761382492,0.8982684826752112,3.6545208865861243,1.0757909437575257,0.4492793538312567,0.34267516453423846,1.0059664812973141,0.4492793538312566,1.0757909437575257,line,_389-153099-0,,1000000,119.99994404998696,0.014399986572000001,abc
21,23,_409-23069_n_sec,_406-92369_n,6.478213676068185,1.5923223179834005,1.529876735315392,6.5235473957532975,1.5923223179834007,6.478213676068184,1.9070088311769353,0.7964183937346703,0.6074456833679128,1.7832339775992327,0.796418394,1.9070088311769353,line,_389-153098-0,,1000000,119.99994404998696,0.014399986572000001,abc
21,24,_409-23069_n_sec,_406-92423_n,8.816321125013072,2.167020970877756,2.0820376194218575,8.878016624809838,2.167020970877757,8.816321125013072,2.595283682290621,1.083860560970797,0.8266840950860548,2.4268361887518157,1.0838605609707967,2.595283682290621,line,_389-153216-0,,1000000,119.99994404998696,0.014399986572000001,abc
21,25,_409-23069_n_sec,_406-92422_n,11.979642967703212,2.9445544424407073,2.829078815565898,12.063474993533392,2.9445544424407077,11.979642967703208,3.526479069,1.4727529048784975,1.1233007697635407,3.297592121487663,1.4727529048784973,3.526479069,line,_389-153215-1,,1000000,119.99994404998696,0.014399986572000001,abc
13,26,_500-15130_n,_389-150320-5_n,0.00017891,6.451588790740114e-05,6.451588790740114e-05,0.00017891,6.451588790740114e-05,0.00017891,0.000948383,0.000528648,0.000537813,0.000948383,0.000528648,0.000948383,line,_389-150320-5,,1000000,7621.023553,58.08,abc
26,27,_389-150320-5_n,_390-188538_ln,1.7217630853994492e-05,0,0,1.7217630853994492e-05,0,1.7217630853994492e-05,1.7217630853994492e-05,0,0,1.7217630853994492e-05,0,1.7217630853994492e-05,switch,_390-188538-0,CLOSED,1000000,7621.023553,58.08,abc
12,28,_500-15132_n,_500-15137_n,0.000525097,0.000189352,0.000189352,0.000525097,0.000189352,0.000525097,0.002783477,0.001551566,0.001578465,0.002783477,0.001551566,0.002783477,line,_389-446130-0,,1000000,7621.023553,58.08,abc
