fb,tb,ratio_a,ratio_b,ratio_c,phases,tap_a,tap_b,tap_c
3,4,1.0,1.0,1.0,cab,0.0,0.0,0.0
15,17,1.0,1.0,1.0,a,0.0,0.0,0.0
14,21,1.0,1.0,1.0,abc,0.0,0.0,0.0
46,47,1.0,1.0,1.0,abc,0.0,0.0,0.0
84,85,1.0,1.0,1.0,abc,0.0,0.0,0.0
98,99,1.0,1.0,1.0,abc,0.0,0.0,0.0
102,103,1.0,1.0,1.0,abc,0.0,0.0,0.0
105,106,1.0,1.0,1.0,b,0.0,0.0,0.0
115,116,1.0,1.0,1.0,abc,0.0,0.0,0.0
124,125,1.0,1.0,1.0,a,0.0,0.0,0.0
129,130,1.0,1.0,1.0,abc,0.0,0.0,0.0
134,139,1.0,1.0,1.0,a,0.0,0.0,0.0
133,142,1.0,1.0,1.0,bc,0.0,0.0,0.0
155,156,1.0,1.0,1.0,ac,0.0,0.0,0.0
170,175,1.0,1.0,1.0,abc,0.0,0.0,0.0
177,178,1.0,1.0,1.0,b,0.0,0.0,0.0
180,181,1.0,1.0,1.0,bc,0.0,0.0,0.0
193,194,1.0,1.0,1.0,abc,0.0,0.0,0.0
208,209,1.0,1.0,1.0,ac,0.0,0.0,0.0
207,217,1.0,1.0,1.0,abc,0.0,0.0,0.0
202,221,1.0,1.0,1.0,bc,0.0,0.0,0.0
146,223,1.0,1.0,1.0,abc,0.0,0.0,0.0
109,226,1.0,1.0,1.0,abc,0.0,0.0,0.0
97,229,1.0,1.0,1.0,ab,0.0,0.0,0.0
32,231,1.0,1.0,1.0,abc,0.0,0.0,0.0
31,233,1.0,1.0,1.0,abc,0.0,0.0,0.0
247,249,1.0,1.0,1.0,bc,0.0,0.0,0.0
260,263,1.0,1.0,1.0,c,0.0,0.0,0.0
267,268,1.0,1.0,1.0,abc,0.0,0.0,0.0
280,281,1.0,1.0,1.0,abc,0.0,0.0,0.0
290,291,1.0,1.0,1.0,abc,0.0,0.0,0.0
293,294,1.0,1.0,1.0,b,0.0,0.0,0.0
304,307,1.0,1.0,1.0,abc,0.0,0.0,0.0
324,325,1.0,1.0,1.0,c,0.0,0.0,0.0
350,351,1.0,1.0,1.0,a,0.0,0.0,0.0
365,366,1.0,1.0,1.0,b,0.0,0.0,0.0
378,381,1.0,1.0,1.0,abc,0.0,0.0,0.0
389,392,1.0,1.0,1.0,abc,0.0,0.0,0.0
412,415,1.0,1.0,1.0,abc,0.0,0.0,0.0
409,423,1.0,1.0,1.0,abc,0.0,0.0,0.0
432,433,1.0,1.0,1.0,abc,0.0,0.0,0.0
356,439,1.0,1.0,1.0,a,0.0,0.0,0.0
349,446,1.0,1.0,1.0,b,0.0,0.0,0.0
454,455,1.0,1.0,1.0,abc,0.0,0.0,0.0
460,461,1.0,1.0,1.0,c,0.0,0.0,0.0
470,471,1.0,1.0,1.0,c,0.0,0.0,0.0
453,481,1.0,1.0,1.0,a,0.0,0.0,0.0
497,500,1.0,1.0,1.0,abc,0.0,0.0,0.0
517,518,1.0,1.0,1.0,b,0.0,0.0,0.0
546,547,1.0,1.0,1.0,abc,0.0,0.0,0.0
552,553,1.0,1.0,1.0,abc,0.0,0.0,0.0
558,559,1.0,1.0,1.0,abc,0.0,0.0,0.0
571,572,1.0,1.0,1.0,abc,0.0,0.0,0.0
570,576,1.0,1.0,1.0,c,0.0,0.0,0.0
545,596,1.0,1.0,1.0,b,0.0,0.0,0.0
600,601,1.0,1.0,1.0,a,0.0,0.0,0.0
612,614,1.0,1.0,1.0,a,0.0,0.0,0.0
611,616,1.0,1.0,1.0,a,0.0,0.0,0.0
610,624,1.0,1.0,1.0,a,0.0,0.0,0.0
636,637,1.0,1.0,1.0,abc,0.0,0.0,0.0
647,648,1.0,1.0,1.0,c,0.0,0.0,0.0
661,662,1.0,1.0,1.0,c,0.0,0.0,0.0
667,668,1.0,1.0,1.0,c,0.0,0.0,0.0
688,689,1.0,1.0,1.0,c,0.0,0.0,0.0
660,692,1.0,1.0,1.0,c,0.0,0.0,0.0
633,696,1.0,1.0,1.0,a,0.0,0.0,0.0
710,713,1.0,1.0,1.0,abc,0.0,0.0,0.0
719,720,1.0,1.0,1.0,b,0.0,0.0,0.0
738,739,1.0,1.0,1.0,b,0.0,0.0,0.0
296,742,1.0,1.0,1.0,abc,0.0,0.0,0.0
749,752,1.0,1.0,1.0,abc,0.0,0.0,0.0
764,765,1.0,1.0,1.0,abc,0.0,0.0,0.0
776,778,1.0,1.0,1.0,bc,0.0,0.0,0.0
773,780,1.0,1.0,1.0,c,0.0,0.0,0.0
788,790,1.0,1.0,1.0,abc,0.0,0.0,0.0
793,794,1.0,1.0,1.0,abc,0.0,0.0,0.0
801,803,1.0,1.0,1.0,ac,0.0,0.0,0.0
807,808,1.0,1.0,1.0,abc,0.0,0.0,0.0
815,816,1.0,1.0,1.0,abc,0.0,0.0,0.0
824,825,1.0,1.0,1.0,b,0.0,0.0,0.0
